"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Zhao X.; Weng Z.","Zhao, Xiaoyang (58441435200); Weng, Zongyuan (57815229300)","58441435200; 57815229300","Digital dividend or divide: The digital economy and urban entrepreneurial activity","2024","Socio-Economic Planning Sciences","93","","101857","","","","0","10.1016/j.seps.2024.101857","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187695170&doi=10.1016%2fj.seps.2024.101857&partnerID=40&md5=6e9c6bf3740175f3823bf92c2743ace1","The integration of the digital economy into various economic and social sectors is profoundly impacting urban entrepreneurial development. This study delves into the empirical analysis of how the digital economy influences entrepreneurial activities and the resulting gaps across cities. To achieve this, panel data from Chinese cities between 2011 and 2020, coupled with statistical information about registered enterprises in China's industrial and commercial sectors, are employed. Additionally, the study examines emerging digital risks and suggests corrective measures stemming from the rapid digital economic expansion. The findings of this research reveal that the digital economy fosters increased entrepreneurial activity within cities while simultaneously widening the gap in such activity across different urban areas—a phenomenon akin to the “Matthew effect.” Importantly, these conclusions withstand rigorous testing for endogeneity and robustness. In response to digitalization risks, establishing a robust intellectual property protection system emerges as an effective countermeasure. The government's role is pivotal: it should expedite urban digitization by prioritizing new infrastructure development and fostering a conducive business environment. Furthermore, it must remain vigilant to the potential exacerbation of the “Matthew effect” and regional developmental imbalances prompted by the digital economy. © 2024","Digital economy; Digitalization risk; Entrepreneurial activity; Intellectual property protection; Regional disparity","Article","Final","","Scopus","2-s2.0-85187695170"
"Gonçalves A.R.; Pinto D.C.; Shuqair S.; Dalmoro M.; Mattila A.S.","Gonçalves, Ana Rita (58124925400); Pinto, Diego Costa (58852471400); Shuqair, Saleh (57209683766); Dalmoro, Marlon (35078280300); Mattila, Anna S. (7003754716)","58124925400; 58852471400; 57209683766; 35078280300; 7003754716","Artificial intelligence vs. autonomous decision-making in streaming platforms: A mixed-method approach","2024","International Journal of Information Management","76","","102748","","","","0","10.1016/j.ijinfomgt.2023.102748","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183563881&doi=10.1016%2fj.ijinfomgt.2023.102748&partnerID=40&md5=66405054b2c4f78a30b018e4df3cd6bf","Although the empowerment of technology is of great value to society, little is known about its downstream effects on consumers' decisions. This research draws on the expectation–confirmation theory and autonomy in artificial intelligence (AI) and investigates how AI (vs. autonomous choice) has detrimental effects on consumer outcomes, creating an autonomy-technology tension — i.e., the conflict arising from AI technology diminishing consumers' autonomy in their choices. Four studies using a mixed-method approach reveal that the use of AI recommendations in streaming platforms creates an autonomy-technology tension that reduces consumers' performance expectancy, thus lowering their satisfaction. However, such effects are contingent on the nature of the AI recommendations. While a mismatch between AI recommendations and consumer preferences might backfire, AI's negative effect is mitigated when choices match consumers' preferences. We make significant theoretical and practical contributions to empirical research on consumers' sense of autonomy while interacting with AI. © 2024 The Authors","Artificial Intelligence; Autonomy; Decision-Making; Performance Expectancy; Streaming Platforms","Article","Final","","Scopus","2-s2.0-85183563881"
"Zhao S.; Zhang L.; Peng L.; Zhou H.; Hu F.","Zhao, Shuang (57226125445); Zhang, Liqun (57925276400); Peng, Lin (58114103000); Zhou, Haiyan (57216282123); Hu, Feng (50561193700)","57226125445; 57925276400; 58114103000; 57216282123; 50561193700","Enterprise pollution reduction through digital transformation? Evidence from Chinese manufacturing enterprises","2024","Technology in Society","77","","102520","","","","0","10.1016/j.techsoc.2024.102520","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188905049&doi=10.1016%2fj.techsoc.2024.102520&partnerID=40&md5=7f195ed362fb3ce662133ee1e7154049","Digital transformation provides new opportunities for the green development of enterprises. Clarifying the impact and mechanism of digital transformation on enterprise pollution reduction has important policy implications for the synergistic development of digitalization and greenization. This paper explores the impact of digital transformation on enterprise pollution abatement using data from Chinese manufacturing enterprises and fixed effects models. The empirical results show that digital transformation contributes to enterprise pollution reduction. Furthermore, the pollution reduction role of digital transformation is more pronounced in enterprises with high degrees of pollution intensity. Digital transformation acts on pollution reduction through productivity improvement and scale expansion, while a mechanism for green technology innovation does not exist. Additionally, industry attributes and external environment heterogeneity affect the pollution abatement role of digital transformation. Enterprises can achieve stronger pollution abatement from digital transformation when they belong to high-polluting industries, high-tech industries, areas with high environmental regulation (HER), and cohorts. The paper provides new micro evidence that digital transformation promotes pollution reduction, enriches the literature on the environmental impact of digital transformation, and provides beneficial insights for enterprises to drive pollution reduction in the era of the digital economy. © 2024 Elsevier Ltd","China; Cohort effects; Digital transformation; Manufacturing enterprises; Pollution reduction","Article","Final","","Scopus","2-s2.0-85188905049"
"Alkathiri E.S.; Alharbi M.F.","Alkathiri, Essa Saleh (58908133700); Alharbi, Musaab Faleh (58908745700)","58908133700; 58908745700","A scoping review of arab public relations scholarship","2024","Public Relations Review","50","2","102435","","","","0","10.1016/j.pubrev.2024.102435","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186074693&doi=10.1016%2fj.pubrev.2024.102435&partnerID=40&md5=6bf8930cd14d7a77babb64aa0b33a448","Arab public relations research (APRR) has reached many milestones since its inception; however, no study has investigated extant literature to map the trends and patterns within the subject area. As a result, this study aims to aggregate the landscape of APRR from 1979 to date. To achieve this, this current study adopts a multi-method approach of content analysis and text mining of 106 peer-reviewed APRR articles. Findings show an inconsistent trend of APRR. Findings also illustrate the status of APRR methods, analytical methods, media genres, media platforms, organizations, industries, most used words and dominant perspectives within the subject area. This study concludes that despite the irregularities in the progression, APRR is an emergent sub-area with the potential to gain prominence concerning interest and output. © 2024 Elsevier Inc.","Content analysis; Literature review; Public relations; Text mining; The Arab region","Article","Final","","Scopus","2-s2.0-85186074693"
"Park J.-I.; Choi T.","Park, Jeong-Il (57194105762); Choi, Taelim (38561116900)","57194105762; 38561116900","Regional factors associated with smart factory adoption in South Korea","2024","Technology in Society","77","","102509","","","","0","10.1016/j.techsoc.2024.102509","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187788997&doi=10.1016%2fj.techsoc.2024.102509&partnerID=40&md5=f3022eba4770377fb6ae4655dc23c236","This study investigates the relationship between regional characteristics and smart factory adoption in South Korea by analyzing smart factory data. Our findings reveal that agglomeration economies and regional occupational structures significantly influence smart factory adoption. Moreover, we identified a neighboring effect, where the presence of existing smart factories within a region fosters further adoption, underscoring the impact of local industrial ecosystems on the diffusion of smart technologies. Our findings show that the impacts of agglomeration economies, occupational structures, and neighboring effects on smart factory adoption vary across different technology levels of smart factories and types of regions, suggesting a complex interplay between regional dynamics and technological advancement in the adoption process. © 2024 Elsevier Ltd","Agglomeration economies; Digitalization; Innovation; Regional factor; Smart factory; South Korea","Article","Final","","Scopus","2-s2.0-85187788997"
"Rousselière D.; Bouchard M.J.; Rousselière S.","Rousselière, Damien (35174874100); Bouchard, Marie J. (13205217600); Rousselière, Samira (55884647900)","35174874100; 13205217600; 55884647900","How does the social economy contribute to social and environmental innovation? Evidence of direct and indirect effects from a European survey","2024","Research Policy","53","5","104991","","","","0","10.1016/j.respol.2024.104991","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188671685&doi=10.1016%2fj.respol.2024.104991&partnerID=40&md5=245b2106f93bc6df86f9c00ece4f7849","This study represents the first empirical attempt to conduct a cross-country comparison of social economy (SE) enterprises with other enterprises in the development of social and environmental innovation. Using data from a European survey with >16,000 respondents, we estimate a bivariate probit model with correlated random effects to identify the direct and indirect effects of the SE on social and environmental innovation. We demonstrate that the primary impact of SE enterprises on environmental innovation is through their influence on other enterprises. We also identify the specific levers of innovation in SE and non-SE enterprises. Our empirical findings are consistent with previous research on the SE as a laboratory of innovation and a yardstick for transformative change. Our original findings regarding contextual effects highlights a strong implication advocating public policies to promote SE for its assumed benefits as well as the tendency of SE to foster innovation within non-SE enterprises. © 2024 The Authors","Correlated random effects; Environmental innovation; Social economy; Social innovation","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85188671685"
"Mahdad M.; Minh T.T.; Dinh T.T.; Vanhaverbeke W.","Mahdad, Maral (57209573115); Minh, Thai Thi (42861983200); Dinh, Tran Thi (58806257400); Vanhaverbeke, Wim (55663860000)","57209573115; 42861983200; 58806257400; 55663860000","Open strategizing for developing smart city food system: Stakeholder inclusion in practice","2024","Technology in Society","77","","102516","","","","0","10.1016/j.techsoc.2024.102516","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188878428&doi=10.1016%2fj.techsoc.2024.102516&partnerID=40&md5=709e8a23baddaad7b074947e46bac671","The positive impact of stakeholder engagement (SE) in smart city development initiatives has received notable scholarly attention over the past decade. Researchers of stakeholder engagement have investigated various aspects of the engagement process from different theoretical perspectives, yet the complexity and dynamism of inclusion, especially at the societal level and in the context of smart city development, continue to inspire more research. Drawing from the intersection of open strategy (OS) and SE, we seek to enhance understanding of the open strategizing process by elucidating stakeholder inclusion practices in a smart city initiative, focusing on food systems in Da Nang, Vietnam. Our participatory action research draws on 114 semi-structured interviews and four stakeholder workshops to analyze the way stakeholder inclusion practices unfold in the strategic decision-making process of a smart city initiative. Our analysis reveals that stakeholder inclusion is complex and involves four interdependent practices at different stages of the strategizing process. These practices are trust formation, common language creation, role transformation, and expectation alignment. Together, they culminate in the creation of an interactive social space for the strategy-making process. The proposed analytical framework highlights the interdependencies among practices and their outcomes at different stages of the open strategizing process and could serve as a guideline in a context in which stakeholder inclusion at the planning phase is necessary to achieve systemic change. © 2024 The Authors","Action Research; Food system; Inclusion; Open Strategy; Smart City; Stakeholder Engagement","Article","Final","","Scopus","2-s2.0-85188878428"
"Safavi Jahromi G.; Ghazinoory S.","Safavi Jahromi, Gelayol (57202650475); Ghazinoory, Sepehr (55983035400)","57202650475; 55983035400","From Superman to Garfield: Four scenarios regarding the effects of industry 4.0 on animation companies","2024","Technology in Society","77","","102511","","","","0","10.1016/j.techsoc.2024.102511","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188723821&doi=10.1016%2fj.techsoc.2024.102511&partnerID=40&md5=46885fe26f7ec1ab8d56d8ebbc0b0f3c","The animation industry is currently undergoing significant transformations fueled by technological advancements. Emerging technologies such as Artificial Intelligence, Big Data Analytics, Cloud Computing, the Internet of Things, Virtual and Augmented Reality, and Blockchain are reshaping the animation industry's value chain. This paper explores the impact of Industry 4.0 technologies on various stages of the animation industry's value chain, including conceptualization, pre-production, production, post-production, distribution, and consumption. Through a combination of literature review and semi-structured interviews, the paper identifies key capabilities of Industry 4.0 technologies in the animation industry. Subsequently, experts from different countries were engaged to validate and evaluate these capabilities, scoring them based on their importance and effectiveness in production and marketing activities. Analysis of data from 60 experts resulted in the identification of the most critical capabilities, which were categorized into four groups based on their relation to either the production or marketing of animation products. Furthermore, the analysis of questionnaires enabled the development of four scenarios depicting the potential future trajectories of animation companies based on their adoption of Industry 4.0 capabilities. The paper delves deeper into each scenario, elucidating their underlying factors and characteristics. Ultimately, it is predicted that companies leveraging Industry 4.0 technologies for both production and marketing activities will emerge as the leaders of the animation industry. This paper offers valuable insights into the evolving landscape of the animation sector and provides a roadmap for companies seeking to harness the potential of Industry 4.0 advancements for sustained leadership and success. © 2024","Animation industry; Artificial intelligence; Big data analytics; Blockchain; Cloud computing; Industry 4.0; Internet of things","Article","Final","","Scopus","2-s2.0-85188723821"
"Li Y.; Song Y.; Sun Y.; Zeng M.","Li, Yunjian (57817547900); Song, Yixiao (57219282425); Sun, Yanming (57205085337); Zeng, Mingzhuo (58945013900)","57817547900; 57219282425; 57205085337; 58945013900","When do employees learn from artificial intelligence? The moderating effects of perceived enjoyment and task-related complexity","2024","Technology in Society","77","","102518","","","","0","10.1016/j.techsoc.2024.102518","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188102501&doi=10.1016%2fj.techsoc.2024.102518&partnerID=40&md5=34030f3942471db8d149f0d7540be8a5","Based on social learning theory, this paper empirically analyzed the effect of employee artificial intelligence (AI) use frequency on employee learning from AI, and explored the moderating effects of employee perceived enjoyment and task-related complexity in this context using a questionnaire-based approach. The study showed that employee AI use frequency can promote employee learning from AI. Employee perceived enjoyment can facilitate employee to learn from AI, and employee perceived enjoyment positively moderates the effect of employee AI use frequency on employee learning from AI. Task-related complexity positively influences employee learning from AI and enhances the positive effect of employee AI use frequency on employee learning from AI, as does employee perceived enjoyment on employee learning from AI. Significant three-way interaction effects among employee AI use frequency, employee perceived enjoyment, and task-related complexity on employee learning from AI are observed. In this paper, a scale for measuring employee learning from AI is developed that extends the learning model from ‘human learning from humans’ to ‘human learning from AI’, broadens the scope of application and theoretical connotations of social learning theory, and opens the black box of the relationship between employee AI use and employee learning from AI. © 2024 Elsevier Ltd","Employee AI use frequency; Employee learning from AI; Employee perceived enjoyment; Social learning theory; Task-related complexity","Article","Final","","Scopus","2-s2.0-85188102501"
"Chatterjee S.; Sarker S.","Chatterjee, Sutirtha (23666590700); Sarker, Suprateek (35611469700)","23666590700; 35611469700","Toward a better digital future: Balancing the utopic and dystopic ramifications of digitalization","2024","Journal of Strategic Information Systems","33","2","101834","","","","0","10.1016/j.jsis.2024.101834","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187958955&doi=10.1016%2fj.jsis.2024.101834&partnerID=40&md5=48c65fd0969bc7e8444352f0d7726da6","This paper discusses two opposing narratives of digitalization. Both these narratives are found in existing literature, and the paper understands them as the utopic and dystopic narratives of digitalization. The former expresses unbridled enthusiasm about the bright side of digitalization, while the latter is predominantly pessimistic, and primarily focuses on the undesirable aspects of digitalization. Observing that scholars tend to subscribe to either one or the other narrative, this paper proposes a more middle ground where these competing narratives can be balanced to usher in a better digital future. © 2024 Elsevier B.V.","Datafication/robotification; Digital dystopia; Digital mindfulness; Digital utopia; Digitalization; Ethics; Hyperconnectivity; Moral pragmatism; Platformization; Vicious and virtuous cycles","Article","Final","","Scopus","2-s2.0-85187958955"
"Zheng H.; Mao M.Q.","Zheng, Hao (58045779200); Mao, Mike Qinghao (56153965800)","58045779200; 56153965800","Fintech mergers and acquisitions","2024","Journal of International Money and Finance","143","","103076","","","","0","10.1016/j.jimonfin.2024.103076","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189813289&doi=10.1016%2fj.jimonfin.2024.103076&partnerID=40&md5=2358d47da7870420412fe0483151db25","Fintech firms have emerged as popular targets for mergers and acquisitions (M&A) in response to the remarkable growth of the fintech industry. However, different acquirers assess the benefits of these deals differently, and the actual benefits realized may diverge from the expected synergies. This study scrutinizes the value of fintech M&As for three types of acquirers: U.S. public banks, nonbank financial institutions, and tech companies. The short-term market reaction to fintech M&As is negative for acquiring banks and insignificant for nonbank financial institutions and tech companies, which is not explained by deal-level or acquirer-level characteristics. Moreover, using a matched sample, we find limited evidence suggesting that fintech M&As contribute to improvements in acquirers’ subsequent operating performance, innovation, or business diversification strategy. Overall, the evidence suggests that fintech acquirers, particularly acquiring banks, may potentially overestimate the benefits of such deals. Our study calls for improved guidelines to ensure more informed decision-making in fintech M&As. © 2024 Elsevier Ltd","Bank; Fintech; Mergers and Acquisitions","Article","Final","","Scopus","2-s2.0-85189813289"
"Feng H.; Li Y.","Feng, Haiyan (57810265800); Li, Yan (57211570710)","57810265800; 57211570710","The role of fintech, natural resources, environmental taxes and urbanization on environmental sustainability: Evidence from the novel panel data approaches","2024","Resources Policy","92","","104970","","","","0","10.1016/j.resourpol.2024.104970","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189635853&doi=10.1016%2fj.resourpol.2024.104970&partnerID=40&md5=0675e01124671a43bb4dba4b3b2c3e9e","The increasing environmental challenges have raised serious concerns, for which various scholars assert that financial and technological growth and commercial progress tend to influence carbon emissions. Thus, fintech has become a pertinent driver in influencing carbon emissions in the post-pandemic era. According to the prior scholarly work, fintech can lessen carbon emissions around the globe, irrespective of income levels and extent of development. In the same direction, the ongoing research attempts to shed light on the connotations among natural resources, fintech, environmental taxes, urbanization, and sustainable environment in ASEAN-6 nations. The research has utilized novel panel data techniques, i.e., “Continuously Updated Fully Modified (CUP-FM) and Continuously Updated Bias-Corrected (CUP-BC)”, and the time frame is twenty years (2000–2020). According to the empirical outcomes, natural resources surge CO2 emissions, fintech, and environmental taxes lessen CO2 emissions, whilst urbanization has proved to be a dominating factor in increasing ecological destruction. The research also indicates a bi-directional causal connotation between environmental quality and environmental taxes. To attain sustainable environmental goals, the policy thinks tanks need to focus on initiatives to develop financial technologies as well as impose reasonable levels of environmental taxes. © 2024 Elsevier Ltd","ASEAN-6; CUP-BC and CUP-FM; Fintech; Natural sources","Article","Final","","Scopus","2-s2.0-85189635853"
"Brenčič V.","Brenčič, Vera (15768659000)","15768659000","Terms of use and network size: Evidence from online job boards and CV banks in the U.S.","2024","Information Economics and Policy","67","","101091","","","","0","10.1016/j.infoecopol.2024.101091","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187199463&doi=10.1016%2fj.infoecopol.2024.101091&partnerID=40&md5=a8eb1a1930a03468015c39af7df3321b","Data on websites that hosted job boards and CV banks in the U.S. from 2000 to 2011 reveal that websites imposed fewer restrictions (in terms of the duration of use) and lower fees for job searchers relative to employers. This asymmetry in the treatment (or the terms of use) changed as the relative scarcity of job searchers and job vacancies in the labor market in which the websites offered their services changed. Compared with job searchers, employers faced less stringent restrictions and lower fees when job searchers were scarce relative to job openings. These adjustments imply that the value of using an employment website changes with the number of potential users and the probability of finding a quality match. We find that these adjustments were most pronounced for websites that relied exclusively on employers and job searchers for their content (job ads and CVs). Whereas existing literature on the role that network size plays in intermediaries’ decision-making has focused on prices, our findings reveal that this focus can overlook other adjustments that affect the terms of use. Given that these adjustments in our context may result in longer periods during which CVs and job ads remain online, our findings suggest that the optimal design of intermediaries must include tools that help users sort through stale information. © 2024 The Author(s)","Employment website; Terms of use; Two-sided market","Article","Final","","Scopus","2-s2.0-85187199463"
"Trieu V.-H.; Vu H.Q.; Indulska M.; Li G.","Trieu, Van-Hau (57194326250); Vu, Huy Quan (36081495000); Indulska, Marta (8366424900); Li, Gang (56336374700)","57194326250; 36081495000; 8366424900; 56336374700","A computer vision-based concept model to recommend domestic overseas-like travel experiences: A design science study","2024","Decision Support Systems","181","","114149","","","","0","10.1016/j.dss.2023.114149","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180608494&doi=10.1016%2fj.dss.2023.114149&partnerID=40&md5=9b11aaec6447358c88b5aa08156b3807","Travel location recommendation systems have long been used by travellers for their ability to suggest destinations and potential travel experiences that match travellers' desires. Recently, a new type of domestic travel has emerged, namely domestic overseas-like travel experiences. These experiences are attractive to travellers who have a preference for exotic locations but no desire to travel internationally. Existing travel recommendation systems were not designed for such applications, nor do they have the relevant ability to recommend domestic overseas-like travel experiences to support travel decision making. To address this challenge, this paper focuses on the development of a recommendation model based on the visual content of photos for domestic overseas-like travel experiences and a prototype application. The application uses the latest advancement in computer vision — the concept model — to learn high-level concepts in an overseas travel destination photo collection to identify similar domestic travel experiences. We demonstrate the usability of the prototype application with a large-scale data set of approximately 479,000 travel photos taken in several countries and evaluate its utility and efficacy through four focus groups with target users. © 2023 The Authors","Concept modelling; Decision support systems; Flickr; Recommender systems; Travel decision making","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85180608494"
"Abbas A.; Ar A.Y.; Hosseini S.","Abbas, Asad (55759680500); Ar, Anil Yasin (57219130197); Hosseini, Samira (56046094700)","55759680500; 57219130197; 56046094700","A global perspective of government initiatives to support higher education during the COVID-19 pandemic: A systematic review of literature","2024","Research in Globalization","8","","100202","","","","0","10.1016/j.resglo.2024.100202","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185483037&doi=10.1016%2fj.resglo.2024.100202&partnerID=40&md5=7a2edd4fc8babde28697e805a85eee19","The coronavirus disease 2019 (COVID-19) pandemic crisis has forced higher education institutions (HEIs) to develop preventative measures in compliance with national and international policies. In varying degrees, some of these measures cause disruptions in their way of offering educational services, whereas others enable them to continue offering their services to students. By surveying the relevant literature based on the Scopus database between 2020 and 2022 (inclusive), this study provides insight into governments’ educational policies during the COVID-19 pandemic and their implications. For data analysis, the Preferred Reporting Items for Systematic reviews and Meta-Analyses (PRISMA) is utilized to explore government contingent policies related to higher education. R-studio is employed for thematic mapping based on keywords and abstracts from selected papers to integrate and present themes and current trends. Based on the analyzed results of 43 papers, it is concluded that during the COVID-19 pandemic, government policies were strongly associated with higher education digital transformation. Moreover, the government mainly plays a critical role in restructuring budgets, building infrastructures, and establishing social initiatives to support HEIs and students during the crisis. For the mentioned reasons, this study indicates the importance of governments’ role and their policymaking strategies in terms of faculty development program initiations, funding and budget structure, administration, support for upgrading the existing information technology infrastructure, and establishment of new digital platforms to mitigate health risks while ensuring desirable learning outcomes through digital means during health crisis. © 2024 The Author(s)","COVID-19; Digital transformation; Educational innovation; Government policies; Higher education; PRISMA","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85185483037"
"Nie J.; Jian X.; Xu J.; Xu N.; Jiang T.; Yu Y.","Nie, Jun (57226766184); Jian, Xin (57262547700); Xu, Juanjuan (58918671100); Xu, Nuo (58920008400); Jiang, Tangyang (57210745789); Yu, Yang (57219090622)","57226766184; 57262547700; 58918671100; 58920008400; 57210745789; 57219090622","The effect of corporate social responsibility practices on digital transformation in China: A resource-based view","2024","Economic Analysis and Policy","82","","","1","15","14","0","10.1016/j.eap.2024.02.027","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186731031&doi=10.1016%2fj.eap.2024.02.027&partnerID=40&md5=ed1f650966b570800f9799a74e131fc4","Companies need to consider corporate social responsibility (CSR) as they seek to achieve digital transformation. However, scholars know little about whether CSR can “feed” digital transformation. We argue that engaging in CSR can improve a firm's resource base in terms of human, financial, and technological resources, thereby contributing to the development of digital transformation. Using data from A-share listed companies from 2011 to 2020, we test our hypothesis and find that CSR facilitates digital transformation of firms and that the effect is persistent. Mechanism tests show that CSR promotes digital transformation only by improving firms' human and technological resources. In addition, the facilitating role of CSR is more pronounced in non-state-owned enterprises and small and medium-sized enterprises. This study enriches the literature on the relationship between CSR and digital transformation. © 2024","Corporate social responsibility; Digital transformation; Resource-based view","Article","Final","","Scopus","2-s2.0-85186731031"
"Acheampong A.O.; Opoku E.E.O.; Tetteh G.K.","Acheampong, Alex O. (57203171610); Opoku, Eric Evans Osei (56743156300); Tetteh, Godsway Korku (57222635305)","57203171610; 56743156300; 57222635305","Unveiling the effect of income inequality on safe drinking water, sanitation and hygiene (WASH): Does financial inclusion matter?","2024","World Development","178","","106573","","","","0","10.1016/j.worlddev.2024.106573","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185759072&doi=10.1016%2fj.worlddev.2024.106573&partnerID=40&md5=bd532fc84409c417f0655401b2604b39","Access to safe drinking water, sanitation, and hygiene (WASH) is crucial for disease prevention and improving general health outcomes. However, a significant number of people across the globe still lack access to safe drinking water and practice open defecation. Therefore, evidence-based research is needed to guide policymakers in improving WASH adoption and practice across the globe. In this study, we add to knowledge and policy by probing the role of income inequality and financial inclusion on access to improved WASH facilities using a comprehensive panel dataset from 119 countries between 2004 and 2020. We used the heteroskedasticity-based instrumental variable regression and the Driscoll-Kraay estimator to account for endogeneity and cross-sectional dependency inherent in panel data, respectively. Our preferred endogeneity and cross-sectional dependency-corrected results show that income inequality reduces access to safe WASH facilities. Our study demonstrates that financial inclusion significantly increases access to safe WASH facilities. Income inequality and financial inclusion have heterogeneous effects on access to safe WASH facilities across rural and urban settings, income groups, and geographical regions. Through our interaction and marginal effect analysis, we document that improvement in financial inclusion reduces the adverse effect of income inequality on safe WASH adoption and practices. These findings highlight that policies that strengthen financial inclusion services and further address income inequality would improve WASH adoption and practices. Considering the inhibiting and enhancing effects of income inequality and financial inclusion, respectively, governments could adopt social welfare policies to tackle the former and also put in measures to enhance financial development and inclusion to enhance the latter. © 2024 The Author(s)","Financial inclusion; Hygiene; Income inequality; Sanitation; WASH; Water","Article","Final","","Scopus","2-s2.0-85185759072"
"Akanfe O.; Lawong D.; Rao H.R.","Akanfe, Oluwafemi (57219109051); Lawong, Diane (57191915687); Rao, H. Raghav (7102999899)","57219109051; 57191915687; 7102999899","Blockchain technology and privacy regulation: Reviewing frictions and synthesizing opportunities","2024","International Journal of Information Management","76","","102753","","","","2","10.1016/j.ijinfomgt.2024.102753","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182671047&doi=10.1016%2fj.ijinfomgt.2024.102753&partnerID=40&md5=5b94b049ee06e5f759a25b32e9575170","As the application of Blockchain Technology (BCT) grows across several industries, its inherent decentralized and immutable nature raises some conflicting issues concerning privacy regulation. The enforcement of privacy regulations like the General Data Protection Regulation (GDPR) exemplifies these challenges, as certain stringent privacy requirements within GDPR may conflict with BCT's features. However, little attention is given to such critical issues. This study draws on the Technology-Organization-Environment (TOE) theoretical lens as a mechanism to unfold the issue. The current research focuses on exploring the tensions and the opportunities for synergy through the lens of TOE to prevent privacy regulatory compliance failure. We analyzed 71 multidisciplinary research studies that highlight the areas of friction and present a unifying structure for research synthesis. In response to the identified areas of friction and potential opportunities for coexistence, we formulate nine research propositions centered around six prominent and contentious data privacy and protection requirements within the GDPR. This research contributes to the broader discourse on privacy regulatory-compliant blockchain-based solutions by providing a theoretical foundation for future investigation into this critical area. The study suggests that reconciling BCT and privacy regulation requirements will unlock BCT's full potential, creating a secure, privacy-conscious technology infrastructure and offering practical implications and insights for policymakers. © 2024 Elsevier Ltd","Blockchain technology; Friction; GDPR; Opportunities; Privacy regulation","Review","Final","","Scopus","2-s2.0-85182671047"
"Zheng Y.; Zhang Y.; Mou N.; Makkonen T.; Li M.; Liu Y.","Zheng, Yunhao (57216873054); Zhang, Yi (55121320900); Mou, Naixia (15765799300); Makkonen, Teemu (39461666400); Li, Mimi (35098788900); Liu, Yu (55742311000)","57216873054; 55121320900; 15765799300; 39461666400; 35098788900; 55742311000","Selection biases in crowdsourced big data applied to tourism research: An interpretive framework","2024","Tourism Management","102","","104874","","","","2","10.1016/j.tourman.2023.104874","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180565263&doi=10.1016%2fj.tourman.2023.104874&partnerID=40&md5=372dda835b8bd6aa4f0d3dd63482174e","Crowdsourced big data has faced growing criticism due to its quality issues, particularly selection biases. We propose an interpretive framework for understanding selection biases in crowdsourced big data applied to tourism research. Inspired by medical terminology, the framework was structured according to external manifestations, internal causes, and potential influencing factors. Using illustrative case data from six websites, the framework demonstrates the emergence and impact of selection biases. Specifically, crowdsourcing-based tourism analysis can be notably affected by online platforms and destination contexts. Crowdsourced samples may not provide a perfect representation of actual travelers due to skewness in gender, age, origin, etc. Tourism researchers and stakeholders are urged to acknowledge selection biases and respond judiciously in their academic and practical efforts. Our research addresses a timely data science issue and offers insights for advancing knowledge innovation and technological improvements in tourism. © 2023 Elsevier Ltd","Big data; Crowdsourcing; Data quality; Interpretive framework; Selection biases","Article","Final","","Scopus","2-s2.0-85180565263"
